"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Test Framework>","0","Posts Endpoint","8","1","Modify Posts","0"
"0","API Test Framework","0","Posts Endpoint","4","0","Get Posts","0"
"0","API Test Framework","0","Posts Endpoint","0","4","Add posts","0"
"0","API Test Framework>","0","Comments Endpoint","2","5","Edit Comments","0"
"0","API Test Framework","0","Posts Endpoint","3","0","Get Comments","0"
"0","API Test Framework>","0","Comments Endpoint","3","0","Delete Comments","0"
"0","API Test Framework>","0","Comments Endpoint","0","5","Post Comments","0"
"0","API Test Framework>","0","Comments Endpoint","3","0","Get Comments","0"
